EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
100352,1846346,REGULAR,SMOOTHIE KING #716,,3925 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,2024/05/10 00:00:00,98,A,SMOOTHIE KING #716,,4705
102659,1822437,REGULAR,KING GYROS,,5000 SHELBYVILLE RD STE 1660,,LOUISVILLE,KY,40207,FOOD SERVICE,2024/02/01 00:00:00,99,A,KING GYROS,,4706
101258,1809182,REGULAR,ASIAN BAZAAR,,2218 HIKES LN,,LOUISVILLE,KY,40218,SUPERMARKET WITH PROCESSING,2023/12/04 00:00:00,92,,ASIAN BAZAAR,,4707
100744,1872840,FOLLOWUP,BEARNO'S PIZZA,,13829 ENGLISH VILLA DR,,LOUISVILLE,KY,40245,FOOD SERVICE,2024/08/16 00:00:00,97,A,BEARNO'S PIZZA,,4708
101902,1823254,FOLLOWUP,FOOD MART EXPRESS,,3727 W BROADWAY,,LOUISVILLE,KY,40211,PRE-PACKAGED RETAIL,2024/01/08 00:00:00,0,,FOOD MART EXPRESS,,4709
100408,1808346,REGULAR,PEARL,,1151 GOSS AVE,,LOUISVILLE,KY,40217,FOOD SERVICE,2023/11/30 00:00:00,98,A,PEARL,,4710
102659,1867864,REGULAR,KING GYROS,,5000 SHELBYVILLE RD STE 1660,,LOUISVILLE,KY,40207,FOOD SERVICE,2024/07/29 00:00:00,97,A,KING GYROS,,4711
101260,1835321,REGULAR,COMFY COW,,600 TERMINAL DR,,LOUISVILLE,KY,40209,FOOD SERVICE,2024/04/01 00:00:00,98,A,COMFY COW,,4712
100744,1870912,REGULAR,BEARNO'S PIZZA,,13829 ENGLISH VILLA DR,,LOUISVILLE,KY,40245,FOOD SERVICE,2024/08/09 00:00:00,90,C,BEARNO'S PIZZA,,4713
101902,1823245,COMPLAINT,FOOD MART EXPRESS,,3727 W BROADWAY,,LOUISVILLE,KY,40211,PRE-PACKAGED RETAIL,2023/11/21 00:00:00,0,,FOOD MART EXPRESS,,4714
100408,1855775,REGULAR,PEARL,,1151 GOSS AVE,,LOUISVILLE,KY,40217,FOOD SERVICE,2024/06/13 00:00:00,99,A,PEARL,,4715
102662,1838700,REGULAR,YOUNG KIDS ACADEMY 2,,6501 SHEPHERDSVILLE RD STE 130,,LOUISVILLE,KY,40228,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2024/04/15 00:00:00,100,A,YOUNG KIDS ACADEMY 2,,4716
101260,1800010,REGULAR,COMFY COW,,600 TERMINAL DR,,LOUISVILLE,KY,40209,FOOD SERVICE,2023/10/26 00:00:00,99,A,COMFY COW,,4717
101902,1823246,FOLLOWUP,FOOD MART EXPRESS,,3727 W BROADWAY,,LOUISVILLE,KY,40211,PRE-PACKAGED RETAIL,2023/12/08 00:00:00,0,,FOOD MART EXPRESS,,4718
100462,1832913,REGULAR,HIGHLAND MORNING ST. MATTHEWS,,111 ST MATTHEWS AVE,,LOUISVILLE,KY,40207,FOOD SERVICE,2024/03/20 00:00:00,99,A,HIGHLAND MORNING ST. MATTHEWS,,4719
101299,1829861,REGULAR,ANGEL'S ENVY,,500 E MAIN ST,,LOUISVILLE,KY,40202,FOOD SERVICE,2024/03/06 00:00:00,100,A,ANGEL'S ENVY,,4720
101902,1823247,FOLLOWUP,FOOD MART EXPRESS,,3727 W BROADWAY,,LOUISVILLE,KY,40211,PRE-PACKAGED RETAIL,2023/12/09 00:00:00,0,,FOOD MART EXPRESS,,4721
102662,1802883,REGULAR,YOUNG KIDS ACADEMY 2,,6501 SHEPHERDSVILLE RD STE 130,,LOUISVILLE,KY,40228,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2023/11/07 00:00:00,100,A,YOUNG KIDS ACADEMY 2,,4722
100749,1821747,REGULAR,POKEHANA,,436 W MARKET ST,,LOUISVILLE,KY,40202,FOOD SERVICE,2024/01/29 00:00:00,100,A,POKEHANA,,4723
101902,1823249,FOLLOWUP,FOOD MART EXPRESS,,3727 W BROADWAY,,LOUISVILLE,KY,40211,PRE-PACKAGED RETAIL,2023/12/12 00:00:00,0,,FOOD MART EXPRESS,,4724
102672,1804693,REGULAR,MISSION BBQ,,4607 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,2023/11/14 00:00:00,100,A,MISSION BBQ,,4725
100487,1832967,REGULAR,BEAN,,1138 GOSS AVE,,LOUISVILLE,KY,40217,"RETAIL-FOOD  10,000 SQ FT OR LESS",2024/03/20 00:00:00,100,A,BEAN,,4726
100749,1869427,REGULAR,POKEHANA,,436 W MARKET ST,,LOUISVILLE,KY,40202,FOOD SERVICE,2024/08/05 00:00:00,97,A,POKEHANA,,4727
101299,1877278,REGULAR,ANGEL'S ENVY,,500 E MAIN ST,,LOUISVILLE,KY,40202,FOOD SERVICE,2024/09/04 00:00:00,96,A,ANGEL'S ENVY,,4728
101902,1823252,ENFORCEMENT ACTIONS,FOOD MART EXPRESS,,3727 W BROADWAY,,LOUISVILLE,KY,40211,PRE-PACKAGED RETAIL,2023/12/14 00:00:00,0,,FOOD MART EXPRESS,,4729
102672,1824634,SURVEY,MISSION BBQ,,4607 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,2024/02/06 00:00:00,99,,MISSION BBQ,,4730
100487,1832969,REGULAR,BEAN,,1138 GOSS AVE,,LOUISVILLE,KY,40217,"RETAIL-FOOD  10,000 SQ FT OR LESS",2024/03/20 00:00:00,100,,BEAN,,4731
100753,1828527,FOLLOWUP,HALLMARK HOUSE,,10301 CONEFLOWER LN,,PROSPECT,KY,40059,FOOD SERVICE (HOSPITAL / NURSING HOME,2024/02/29 00:00:00,99,A,HALLMARK HOUSE,,4732
101303,1820097,REGULAR,LAS MARIA'S,,5000 SHELBYVILLE RD STE 1665,,LOUISVILLE,KY,40207,FOOD SERVICE,2024/01/24 00:00:00,97,A,LAS MARIA'S,,4733
